Baslica sehirler,FB_takipci_sayisi,Inst_takipci_sayisi,Inst_takipci_sayisi_khg,FB_takipci_sayisi_khg,FB_takipci_sayisi_%,Inst_takipci_sayisi_%,FB_takipcisi_khg_%,Inst_takipcisi_khg_%
Istanbul,340.472,12635.783,18045.264,560.68,21.2,41.9,21.4,48.8
Ankara,260.172,753.9250000000001,1737.966,115.27999999999999,16.2,2.5,4.3999999999999995,4.7
Izmir,80.30000000000001,814.239,1922.856,165.06,5.0,2.7,6.3,5.2
Antalya,65.846,,,75.98,4.1000000000000005,,2.9000000000000004,
"Bakü, Azerbaycan",62.634,512.669,1072.362,62.88,3.9,1.7000000000000002,2.4,2.9000000000000004
Bursa,46.574000000000005,572.983,1146.318,94.32,2.9000000000000004,1.9,3.5999999999999996,3.1
Konya,28.907999999999998,,,68.11999999999999,1.7999999999999998,,2.6,
Gaziantep,20.878,,,,1.3,,,
Adana,17.666,,,,1.0999999999999999,,,
Kayseri,14.453999999999999,,,,0.8999999999999999,,,
Denizli,,,,49.78,,,1.9,
Mersin,,,,34.059999999999995,,,1.3,
Eskisehir ,,,,31.44,,,1.2,
Others ,668.096,14867.401,13053.233999999999,1362.4,41.6,49.3,52.0,35.3
